title,text,subject,date,label
Officials review economy figures in employment records,"According to a statement issued on 16-Aug-21, the department reviewed economy data for the quarter. A spokesperson said the findings in employment were based on filings submitted under existing disclosure rules. No unusual activity was reported in connection with the matter.",world,02-Apr-20,REAL
Health update issued after clinic review,Officials confirmed on 04-Dec-20 that health figures were released following a routine review. A spokesperson said the findings in clinic were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,sports,26-Aug-20,REAL
Diplomatic update issued after diplomacy review,"According to a statement issued on 21-Oct-19, the department reviewed diplomatic data for the quarter. A spokesperson said the findings in diplomacy were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",health,01-Nov-20,REAL
Technology update issued after software review,"According to a statement issued on 13-Sep-20, the department reviewed technology data for the quarter. A spokesperson said the findings in software were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.",business,21-Jan-21,REAL
BREAKING: the media scandal destroys everything - share before it's deleted!!!,WAKE UP people!!! the media is a total LIE and we have PROOF!!! Everyone is talking about how the secret footage was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,25-Jul-19,FAKE
Officials review diplomatic figures in diplomacy records,"A report published on 22-Sep-21 describes how diplomatic developments were documented by the agency. Researchers noted that the results, published in diplomacy, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",sports,13-Jun-20,REAL
Diplomatic update issued after diplomacy review,Officials confirmed on 28-Apr-21 that diplomatic figures were released following a routine review. Independent observers who reviewed the materials in diplomacy described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.,world,18-Jun-19,REAL
BREAKING: vaccines scandal destroys everything - share before it's deleted!!!,Shocking new evidence about vaccines has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the banned report was hidden from YOU!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,30-Jun-19,FAKE
Officials review diplomatic figures in treaty records,"Officials confirmed on 17-Jan-20 that diplomatic figures were released following a routine review. Researchers noted that the results, published in treaty, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",technology,12-Sep-21,REAL
Officials review technology figures in engineering records,"According to a statement issued on 30-Jan-19, the department reviewed technology data for the quarter. The agency stated that further updates concerning engineering would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.",world,30-Dec-19,REAL
Government update issued after parliament review,The ministry announced on 22-Jul-21 that government statistics had been verified by an independent auditor. A spokesperson said the findings in parliament were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.,politics,18-Aug-19,REAL
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,Shocking new evidence about the media has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! The fact that this is not on the news proves EVERYTHING!!!,entertainment,10-Aug-19,FAKE
